ABN MMS ID,Network Id,ABN035,Aleph ID,Network Number
990007740950108281,991150030789705501,(ABN)000774095ABN01,000774095-ABN01,(CH-ZuSLS)991150030789705501; (OCoLC)891833804; (NEBIS)010361443EBI01; 200237314; (swissbib)200237314-41slsp_network
990004733730108281,991023473209705501,(ABN)000473373ABN01,000473373-ABN01,(CH-ZuSLS)991023473209705501; (IDSBB)003514068DSV01; 046641122; (swissbib)046641122-41slsp_network
990004704190108281,991033326899705501,(ABN)000470419ABN01,000470419-ABN01,(CH-ZuSLS)991033326899705501; (IDSBB)003487527DSV01; 048630861; (swissbib)048630861-41slsp_network
990000111510108281,991020650789705501,(ABN)000011151ABN01,000011151-ABN01,(CH-ZuSLS)991020650789705501; (IDSBB)000498280DSV01; (NEBIS)001114126EBI01; (RERO)1108121-41slsp; 233844503; (swissbib)233844503-41slsp_network
990003004320108281,991010672529705501,(ABN)000300432ABN01,000300432-ABN01,(CH-ZuSLS)991010672529705501; (NEBIS)006270670EBI01; (IDSBB)002890870DSV01; 213442663; (swissbib)213442663-41slsp_network
990003075200108281,991100816609705501,(ABN)000307520ABN01,000307520-ABN01,(CH-ZuSLS)991100816609705501; (IDSBB)005694228DSV01; 066168368; (swissbib)066168368-41slsp_network
990008675150108281,991064803249705501,(ABN)000867515ABN01,000867515-ABN01,(CH-ZuSLS)991064803249705501; (OCoLC)1135368978; (NEBIS)011578805EBI01; 210047925; (swissbib)210047925-41slsp_network
990006862340108281,991065418109705501,(ABN)000686234ABN01,000686234-ABN01,(CH-ZuSLS)991065418109705501; (IDSLU)000308182ILU01; 005567823; (swissbib)005567823-41slsp_network
990005487630108281,991092443039705501,(ABN)000548763ABN01,000548763-ABN01,(CH-ZuSLS)991092443039705501; (OCoLC) ocn631696970; (IDSSG)000810818HSB01; (IDSBB)005235072DSV01; (IDSLU)000906508ILU01; (NEBIS)006185624EBI01; 234694912; (swissbib)234694912-41slsp_network
990004084960108281,991035127719705501,(ABN)000408496ABN01,000408496-ABN01,(CH-ZuSLS)991035127719705501; (IDSBB)003987147DSV01; 052276503; (swissbib)052276503-41slsp_network
990000105650108281,991147595239705501,(ABN)000010565ABN01,000010565-ABN01,(CH-ZuSLS)991147595239705501; (NEBIS)003164745EBI01; (IDSBB)000202160DSV01; (IDSLU)000015788ILU01; 219146012; (swissbib)219146012-41slsp_network
990002446110108281,991134695969705501,(ABN)000244611ABN01,000244611-ABN01,(CH-ZuSLS)991134695969705501; (SBT)000217455SBT01; (IDSBB)000182708DSV01; 25248133X; (swissbib)25248133X-41slsp_network
990000605370108281,991025754469705501,(ABN)000060537ABN01,000060537-ABN01,(CH-ZuSLS)991025754469705501; (IDSSG)000073477HSB01; (IDSBB)001016938DSV01; (IDSLU)000077883ILU01; (NEBIS)000955293EBI01; 234681578; (swissbib)234681578-41slsp_network
990001227070108281,991079529949705501,(ABN)000122707ABN01,000122707-ABN01,(CH-ZuSLS)991079529949705501; (NEBIS)004204245EBI01; 155660152; (swissbib)155660152-41slsp_network
990004382190108281,991152400979705501,(ABN)000438219ABN01,000438219-ABN01,(CH-ZuSLS)991152400979705501; (IDSBB)001223892DSV01; (IDSLU)000800555ILU01; (NEBIS)005154947EBI01; (RERO)0311996-41slsp; 227924770; (swissbib)227924770-41slsp_network
990002919640108281,991156460199705501,(ABN)000291964ABN01,000291964-ABN01,(CH-ZuSLS)991156460199705501; (IDSLU)000499169ILU01; (IDSBB)003929093DSV01; (RERO)R004620044-41slsp; (NEBIS)005265256EBI01; 218989229; (swissbib)218989229-41slsp_network
990007694610108281,991094772759705501,(ABN)000769461ABN01,000769461-ABN01,(CH-ZuSLS)991094772759705501; (IDSBB)007023773DSV01; 074273027; (swissbib)074273027-41slsp_network
990005140380108281,991158498299705501,(ABN)000514038ABN01,000514038-ABN01,(CH-ZuSLS)991158498299705501; (NEBIS)001789766EBI01; (IDSBB)000258380DSV01; 223319295; (swissbib)223319295-41slsp_network
990000794330108281,991157029109705501,(ABN)000079433ABN01,000079433-ABN01,(CH-ZuSLS)991157029109705501; (IDSBB)006921811DSV01; (RERO)2248835-41slsp; 21122944X; (swissbib)21122944X-41slsp_network
990003411160108281,991002912889705501,(ABN)000341116ABN01,000341116-ABN01,(CH-ZuSLS)991002912889705501; (IDSLU)000695875ILU01; (IDSBB)003670416DSV01; 241045789; (swissbib)241045789-41slsp_network
990000121570108281,991131144179705501,(ABN)000012157ABN01,000012157-ABN01,(CH-ZuSLS)991131144179705501; (NEBIS)001119620EBI01; (IDSBB)000421766DSV01; 23035484X; (swissbib)23035484X-41slsp_network
990006856590108281,991101979649705501,(ABN)000685659ABN01,000685659-ABN01,(CH-ZuSLS)991101979649705501; (OCoLC)809234560; (DE-599)DNB1016524315; (NEBIS)007553563EBI01; (IDSBB)006001356DSV01; 219217254; (swissbib)219217254-41slsp_network
990004149430108281,991021498129705501,(ABN)000414943ABN01,000414943-ABN01,(CH-ZuSLS)991021498129705501; (IDSBB)003992652DSV01; 05285681X; (swissbib)05285681X-41slsp_network
990007503650108281,991012706239705501,(ABN)000750365ABN01,000750365-ABN01,(CH-ZuSLS)991012706239705501; (OCoLC)864594119; (NEBIS)010132379EBI01; 19825816X; (swissbib)19825816X-41slsp_network
990003570220108281,991137219349705501,(ABN)000357022ABN01,000357022-ABN01,(CH-ZuSLS)991137219349705501; (IDSBB)004716502DSV01; 058216871; (swissbib)058216871-41slsp_network
990000379730108281,991069139399705501,(ABN)000037973ABN01,000037973-ABN01,(CH-ZuSLS)991069139399705501; (IDSBB)000642056DSV01; (NEBIS)000502100EBI01; (IDSLU)000042029ILU01; 219069204; (swissbib)219069204-41slsp_network
990007418100108281,991126430869705501,(ABN)000741810ABN01,000741810-ABN01,(CH-ZuSLS)991126430869705501; (OCoLC)867138238; (OCoLC)875135926; (NEBIS)010067400EBI01; (RERO)R007555691-41slsp; (IDSBB)006686395DSV01; 218245807; (swissbib)218245807-41slsp_network
990002882550108281,991030952329705501,(ABN)000288255ABN01,000288255-ABN01,(CH-ZuSLS)991030952329705501; (IDSSG)000097591HSB01; (IDSBB)001064065DSV01; (RERO)bv00507680-41slsp; (RERO)0208535-41slsp; (NEBIS)005153434EBI01; 24150581X; (swissbib)24150581X-41slsp_network
990002714480108281,991021423439705501,(ABN)000271448ABN01,000271448-ABN01,(CH-ZuSLS)991021423439705501; (NEBIS)005151097EBI01; (IDSLU)000469132ILU01; (IDSBB)003764658DSV01; 212597299; (swissbib)212597299-41slsp_network
990005271950108281,991093326859705501,(ABN)000527195ABN01,000527195-ABN01,(CH-ZuSLS)991093326859705501; (IDSLU)000106645ILU01; (IDSBB)001357567DSV01; (NEBIS)001672655EBI01; 23075600X; (swissbib)23075600X-41slsp_network
990005326780108281,991050675079705501,(ABN)000532678ABN01,000532678-ABN01,(CH-ZuSLS)991050675079705501; (RERO)R005663155-41slsp; 110921143; (swissbib)110921143-41slsp_network
990000353560108281,991005255749705501,(ABN)000035356ABN01,000035356-ABN01,(CH-ZuSLS)991005255749705501; (IDSSG)000069976HSB01; (IDSBB)000924736DSV01; (NEBIS)001263394EBI01; 232735387; (swissbib)232735387-41slsp_network
990003075460108281,991159136189705501,(ABN)000307546ABN01,000307546-ABN01,(CH-ZuSLS)991159136189705501; (NEBIS)009300533EBI01; (IDSBB)004263738DSV01; (IDSLU)000528483ILU01; 224911244; (swissbib)224911244-41slsp_network
990007019490108281,991018978989705501,(ABN)000701949ABN01,000701949-ABN01,(CH-ZuSLS)991018978989705501; (IDSBB)006053150DSV01; (NEBIS)009704032EBI01; (IDSSG)000897109HSB01; (IDSLU)001360586ILU01; 234405732; (swissbib)234405732-41slsp_network
990002769790108281,991127800459705501,(ABN)000276979ABN01,000276979-ABN01,(CH-ZuSLS)991127800459705501; (IDSBB)000514213DSV01; 019928432; (swissbib)019928432-41slsp_network
990008555920108281,991134055579705501,(ABN)000855592ABN01,000855592-ABN01,(CH-ZuSLS)991134055579705501; (OCoLC)1101393978; (IDSBB)007127438DSV01; (RERO)R008998279-41slsp; (IDSSG)001078982HSB01; (NEBIS)011493509EBI01; 231368518; (swissbib)231368518-41slsp_network
990008940960108281,991171033875605501,(ABN)000894096ABN01,000894096-ABN01,(CH-ZuSLS)991171033875605501; (DE-599)DNB1243097574; (DE-101)1243097574
990001220910108281,991000959059705501,(ABN)000122091ABN01,000122091-ABN01,(CH-ZuSLS)991000959059705501; (NEBIS)004564336EBI01; 158390393; (swissbib)158390393-41slsp_network
990002900830108281,991055054779705501,(ABN)000290083ABN01,000290083-ABN01,(CH-ZuSLS)991055054779705501; (IDSSG)000122372HSB01; (NEBIS)001683478EBI01; (IDSLU)000091972ILU01; (IDSBB)001298862DSV01; (RERO)2258842-41slsp; 236339400; (swissbib)236339400-41slsp_network
990000866280108281,991156837629705501,(ABN)000086628ABN01,000086628-ABN01,(CH-ZuSLS)991156837629705501; (IDSSG)000139551HSB01; (NEBIS)001829029EBI01; (IDSLU)000098782ILU01; (IDSBB)001412804DSV01; (RERO)R216406760-41slsp; 211086703; (swissbib)211086703-41slsp_network
990003395930108281,991018607569705501,(ABN)000339593ABN01,000339593-ABN01,(CH-ZuSLS)991018607569705501; (DDB)969746733; (IDSBB)003214731DSV01; (IDSLU)000387367ILU01; (NEBIS)004693183EBI01; 234272295; (swissbib)234272295-41slsp_network
990007806780108281,991016768839705501,(ABN)000780678ABN01,000780678-ABN01,(CH-ZuSLS)991016768839705501; (OCoLC)882489542; (DE-599)DNB1052688942; (IDSLU)001196658ILU01; 013691864; (swissbib)013691864-41slsp_network
990004078740108281,991030289329705501,(ABN)000407874ABN01,000407874-ABN01,(CH-ZuSLS)991030289329705501; (SLB)vtls000862671; (IDSBB)004244223DSV01; (NEBIS)009960185EBI01; (RERO)R005941710-41slsp; 220571775; (swissbib)220571775-41slsp_network
990007976540108281,991024865269705501,(ABN)000797654ABN01,000797654-ABN01,(CH-ZuSLS)991024865269705501; (OCoLC)957985981; (DE-101)1099718295; (DE-599)DNB1099718295; (OCoLC)949787636; (RERO)R008543286-41slsp; (NEBIS)010809899EBI01; (IDSBB)006621497DSV01; (IDSLU)001257366ILU01; 213772973; (swissbib)213772973-41slsp_network
990006270700108281,991010469869705501,(ABN)000627070ABN01,000627070-ABN01,(CH-ZuSLS)991010469869705501; (NEBIS)006010259EBI01; (IDSBB)005183966DSV01; 221643176; (swissbib)221643176-41slsp_network
990003580490108281,991144208079705501,(ABN)000358049ABN01,000358049-ABN01,(CH-ZuSLS)991144208079705501; (NEBIS)001408346EBI01; 138643563; (swissbib)138643563-41slsp_network
990007913610108281,991091863079705501,(ABN)000791361ABN01,000791361-ABN01,(CH-ZuSLS)991091863079705501; (OCoLC)932644066; (IDSLU)001235558ILU01; 014319764; (swissbib)014319764-41slsp_network
990002825620108281,991052630089705501,(ABN)000282562ABN01,000282562-ABN01,(CH-ZuSLS)991052630089705501; (IDSLU)000467889ILU01; (IDSBB)003856140DSV01; (NEBIS)005178179EBI01; 236129821; (swissbib)236129821-41slsp_network
990004856920108281,991112278869705501,(ABN)000485692ABN01,000485692-ABN01,(CH-ZuSLS)991112278869705501; (IDSBB)004366777DSV01; 053106083; (swissbib)053106083-41slsp_network
990001143950108281,991048485669705501,(ABN)000114395ABN01,000114395-ABN01,(CH-ZuSLS)991048485669705501; (IDSSG)000306952HSB01; (IDSLU)000234964ILU01; (NEBIS)004554733EBI01; (IDSBB)002518759DSV01; 228304008; (swissbib)228304008-41slsp_network
990008982440108281,991157838839705501,(ABN)000898244ABN01,000898244-ABN01,(CH-ZuSLS)991157838839705501; (OCoLC)1055680668; (DE-599)DNB1167710703; (OCoLC)1083583545; (IDSLU)001367787ILU01; (IDSBB)007127778DSV01; 218877560; (swissbib)218877560-41slsp_network
990006189170108281,991074350769705501,(ABN)000618917ABN01,000618917-ABN01,(CH-ZuSLS)991074350769705501; (IDSLU)000115691ILU01; (IDSBB)000096224DSV01; (RERO)0655638-41slsp; (NEBIS)000671245EBI01; 234195592; (swissbib)234195592-41slsp_network
990007877700108281,991021136399705501,(ABN)000787770ABN01,000787770-ABN01,(CH-ZuSLS)991021136399705501; (IDSBB)006991133DSV01; (NEBIS)005768119EBI01; 211080691; (swissbib)211080691-41slsp_network
